Tên công ty,Ngành nghề,Năm kinh nghiệm,Vị trí làm việc,Số lượng nhân viên,Lương,Mô tả công việc,Yêu cầu công việc,Logo,Link ứng tuyển
Công ty TNHH Tehan Enc Vina,Chuyên môn Kỹ sư xây dựng Xây dựng,1 năm,Hà Nội & 3 nơi khác,25-99 nhân viên,15 - 20 triệu,"Thiết kế, khảo sát hiện trạng, lập báo cáo khảo sát.
Thuyết minh thiết kế, tính toán kết cấu BTCT
Triển khai bản vẽ, bóc tách khối lượng, tính dự toán....
Giám sát công việc ở công trình
Đi công trình ở khu vực miền bắc: Bắc Ninh, Bắc Giang, Vĩnh Phúc, Hải Phòng....
Một số công việc được giao khác sẽ trao đổi trực tiếp khi phỏng vấn.","- Tốt nghiệp CĐ, ĐH chuyên ngành xây dựng
- Có kinh nghiệm 1 năm trở lên, ưu tiên có kinh nghiệm trong lĩnh vực xây lắp nhà xưởng
- Sử dụng tốt phần mềm Autocad, Word, Excel...
- Có thể đi công trình các tỉnh phía Bắc ( Bắc Ninh, Phú Thọ, Vĩnh Phúc... )",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-tehan-enc-vina-7fdb4235e1930582e899cb0ed5c07bf8-6583a083113f2.jpg,https://www.topcv.vn/viec-lam/ky-su-xay-dung-giam-sat-cong-trinh-thu-nhap-15-20-trieu/1606898.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN VẬN TẢI XÂY DỰNG ĐẠI NAM,Chuyên môn Dự toán công trình Xây dựng,1 năm,Hà Nội,10-24 nhân viên,12 - 15 triệu,"Tính toán khối lượng công trình: Đọc bản vẽ, bóc tách khối lượng; làm hồ sơ thầu, thi công, thanh - quyết toán.
Lập và kiểm soát dự toán chi phí: Soạn thảo dự toán công trình theo đơn giá định mức hiện hành hoặc theo yêu cầu chủ đầu tư.
Quản lý chi phí và ngân sách: Theo dõi chi phí thực tế so với dự toán và đề xuất biện pháp tối ưu chi phí.
Thanh – quyết toán công trình: Lập hồ sơ thanh toán theo khối lượng nghiệm thu.
Hỗ trợ quản lý tiến độ và chất lượng thi công: Phối hợp với các bộ phận kỹ thuật, giám sát hiện trường, đảm bảo hồ sơ dự toán phù hợp với thực tế thi công.","Giới tính: Nam/ Nữ
Tốt nghiệp đại học chuyên ngành Kinh tế xây dựng, Dự toán, QS hoặc tương đương.
Có kinh nghiệm từ 6 tháng trở lên làm dự quán, QS công trình (Có hỗ trợ đào tạo cho sinh viên mới ra trường)
Thành thạo AutoCAD, Excel, biết vẽ Shop Drawing
Có kiến thức về định mức xây dựng, đơn giá, luật đấu thầu, hợp đồng xây dựng.
Kỹ năng tính toán, phân tích chi phí tốt.
Tỉ mỉ, chịu áp lực cao, có tinh thần trách nhiệm.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/6821a14329ede1747034435.jpg,https://www.topcv.vn/viec-lam/ky-su-qs-ky-su-du-toan-ky-su-hien-truong-kinh-nghiem-tu-6-thang-tro-len-luong-12-15-trieu-thang-lam-viec-tai-ha-noi/1717231.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN THIÊN KHÔI,Chuyên môn Sales bất động sản/Môi giới bất động sản B2B B2C,Không yêu cầu,Hà Nội,10000+ nhân viên,30 - 100 triệu,"- Nắm bắt kiến thức cơ bản về bất động sản thổ cư
- Định giá, tư duy khi phân tích Bất động sản
- Các kênh và công cụ truyền thông Bất động sản, cách viết bài truyền thông Bất động sản hấp dẫn.
- Thiết lập công cụ và các thao tác đăng tin
- Dẫn khách xem nhà, xử lý các tình huống thực tế khi dẫn khách
- Tư vấn pháp lý trong giao dịch Bất động sản
- Chuẩn bị các tình huống đàm phán, thương lượng giá trong giao dịch
- Hậu đặt cọc và các thủ tục công chứng, sang tên, chốt giao dịch.
- Bán nhà từ kho hàng có sẵn của Tập đoàn","- Không yêu cầu kinh nghiệm, sẽ được đào tạo.
- 20 đến 65 tuổi.
- Có phương tiện đi lại.
- Có nhiệt huyết, đam mê kiếm tiền, làm giàu",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/6a5230467623ccb661e5da833de7eb55-6419149741e87.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-sales-bat-dong-san-tai-ha-noi-thu-nhap-tu-30-trieu-tu-do-thoi-gian/1623440.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY TNHH RAON,Chuyên môn Kỹ sư hiện trường Xây dựng Bất động sản Thiết kế / Kiến trúc,3 năm,Bắc Ninh,100-499 nhân viên,14 - 20 triệu,"Chuẩn bị cho việc thi công: Giám sát hiện trường, nghiên cứu tìm hiểu triển khai bản vẽ chi tiết, biện pháp thi công, lên kế hoạch vật tư và thi công.
Quản lý chất lượng thi công: giám sát, hướng dẫn và theo dõi nhân sự. Đảm bảo chất lượng làm việc về kỹ thuật và mỹ thuật của tổ đội/thầu phụ.
Lên kế hoạch vật tư cho từng giai đoạn để chủ động và tránh lãng phí trong thi công. Tự liên lạc với các bộ phận cung cấp vật tư thi công phần công tác của mình để nắm được tình hình một cách chủ động
Lập hồ sơ quản lý chất lượng, hồ sơ thanh toán, quyết toán dự án công trình hoàn thành.
Các công việc khác theo sự phân công của quản lý trực tiếp","Tốt nghiệp từ cao đẳng, đại học trở lên các ngành thi công xây dựng.... và các ngành có liên quan.
Có ít nhất trên 03 năm kinh nghiệm làm việc thực tế tại vị trí QA/QC dự án hoặc kỹ sư hiện trường
Kỹ năng giao tiếp, đàm phán, giải quyết vấn đề.
Cẩn thận, trung thực, nhiệt tình trong công việc.
Khả năng tổ chức, triển khai công việc một cách độc lập và quản lý thời gian tốt.
Sử dụng tốt Microsoft Office, Autocad,
Chịu được áp lực công việc cao.
Ưu tiên ứng viên đã làm dự án liên quan đến lắp dựng kết cấu thép
Có thể đi công tác xa
Tinh thần làm việc nhóm tốt.
Biết tiếng Anh là một lợi thế.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/68182b369fcf91746414390.png,https://www.topcv.vn/viec-lam/ky-su-hien-truong-kcn-yen-phong-bac-ninh-luong-co-ban-upto-20tr-toi-thieu-3-nam-kinh-nghiem/1719028.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
Công ty TNHH GE Vernova Hải Phòng,Chuyên môn Kỹ sư an toàn lao động (HSE) Sản xuất Cơ khí / Tự động hóa Năng lượng / Môi trường Nghỉ thứ 7,3 năm,Hải Phòng,500-1000 nhân viên,Thoả thuận,"The EHS Specialist is a hands-on role, responsible for providing Environmental, Health and Safety (EHS) expertise in regulatory compliance and technical guidance for GE Vernova Haiphong. Under the direction of the site's Safety & Maintenance Manager
Essential Responsibilities:
Ensure compliance to all applicable GE Vernova EHS requirements and local regulations.
Provide EHS technical support for the site in manufacturing operations.
Instill and foster a proactive, EHS-conscious culture and drive operational ownership of GEV's Environment, Health & Safety programs through all levels of the organization.
Develop and implement EHS programs to comply with GEV EHS Framework and regulatory requirements.
Possess and develop technical experience and knowledge in engineering and general machine safety.
Manage environmental related matters associated with business operations including air, water, waste and chemical/material management issues.
Act as liaison with government and regulatory agencies as well as with GEV and EHS personnel.
Conduct EHS trainings and presentations on various topics within scope of responsibility.
Perform EHS audits/inspections, develop and track to closure appropriate corrective actions in a reasonable timeframe.
Lead and/or participate in incident investigations and ensure appropriate root causes are identified and corrective/preventive actions are developed/implemented.
Evaluate EHS hazards and risks, propose feasible defenses and develop appropriate risk reduction strategies.
Participate in NPI projects to provide EHS input for manufacturing processes on hazards and risks for the new process
Work closely with Safety & Maintenance Manager, one EHS and Global Supply Chain personnel throughout organization to develop and implement functional EHS programs and strategies.
Maintain safety and health records and documents required by GEV EHS and applicable regulatory requirements.
Additional tasks, as required.","Requirements
Bachelor Degree in Safety Sciences, Environmental Sciences, or other technical fields.
At least 3 years experience in EHS in manufacturing company.
Good English skills
Solid computer skills (Word, Excel, Power Point).
Desired Characteristics
Demonstrated ability to lead and manage team-based initiatives.
Demonstrated solid verbal and written skills.
Manufacturing industry/safety experience.
Excellent inter-personal skills and ability to influence all levels of the organization.
Training skill",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/tGFoXhaFzqNAVTs2iZpIWJ0h9jo0yoGw_1744950968____7482bc3773925dd370fd378d0e0ad7d5.png,https://www.topcv.vn/viec-lam/hse-specialist-ehs-specialist-chuyen-vien-an-toan-health-safety-environment/1715403.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN ĐẦU TƯ BẤT ĐỘNG SẢN HOME PLUS,Chuyên môn Sales bất động sản/Môi giới bất động sản Direct Sales B2C Bất động sản Có hỗ trợ Data,Dưới 1 năm,Hà Nội,100-499 nhân viên,30 - 80 triệu,"– Quản lý và phát triển đội nhóm - tuyển dụng xây team lớn mạnh theo KPI tháng của phòng và Cty định hướng
- Họp và tư vấn cho BLĐ về hiệu quả KD cũng như định hướng thị trường , sản phẩm , tổ chức...
- Báo cáo và làm việc trực tiếp với GDKD và BLĐ cty
- Được Cung Cấp Data Khách Hàng
– Tư vấn chung cư, biệt thự, nghỉ dưỡng cho người có nhu cầu ở hoặc đầu tư các sản phẩm của Vinhomes
– Thực hiện việc chăm sóc và duy trì mối quan hệ với khách hàng
– Tham gia các sự kiện bán hàng do Công ty hoặc chủ đầu tư tổ chức
– Tham gia các sự kiện đào tạo của công ty và chủ đầu tư","– Làm việc theo giờ hành chính
– Nam, nữ tuổi tốt nghiệp từ THPT trở lên
– Nhanh nhẹn, nhiệt tình, đam mê kinh doanh
– Chấp nhận sinh viên mới ra trường, chưa có kinh nghiệm sẽ được đào tạo.
– Ngoại hình: ưa nhìn – Nhanh nhẹn, chăm chỉ, trung thực, biết sử dụng máy tính, biết tra cứu và tìm kiếm thông tin, liên lạc qua Internet (mail,chat...)
+ Nam/nữ, từ 20 – 40 tuổi
+ Khao khát thành công, dám nghĩ, dám làm..",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/67f4947ae28441744082042.png,https://www.topcv.vn/viec-lam/truong-nhom-kinh-doanh-thu-nhap-30-000-000-80-000-000/1716687.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN PHÒNG CHÁY CHỮA CHÁY BÌNH AN KHANG,Chuyên môn Kỹ sư hiện trường Xây dựng,1 năm,Hà Nội,100-499 nhân viên,Thoả thuận,"- Quản lý thi công, Giám sát hiện trường tại công trình (công trình chủ yếu tại Hà Nội);
- Bóc tách khối lượng, đề xuất vật tư, Lập bản vẽ shop drawing;
- Quản lý tổ đội thi công, xác nhận khối lượng hoàn thành của tổ đội;
- Phối hợp các bên xử lý kỹ thuật tại hiện trường;
- Phối hợp với các cán bộ khác xử lý hồ sơ thanh quyết toán với chủ đầu tư (nếu có yêu cầu).
(Chi tiết công việc sẽ được trao đổi cụ thể trong buổi phỏng vấn)","- Tốt nghiệp Cao Đẳng, Đại học chuyên ngành: Xây dựng dân dụng, kiến trúc, Điện, kỹ thuật điện, Cấp thoát nước, PCCC...;
- Ưu tiên có kinh nghiệm về xây dựng, cơ điện, PCCC (chưa có kinh nghiệm sẽ được đào tạo);
- Thành thạo AutoCad, MS Office, PDF;
- Chịu được áp lực theo tiến độ, linh hoạt, sáng tạo trong công việc;
- Có khả năng làm việc nhóm, trung thực, thẳng thắn, có kỹ năng giao tiếp tốt.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/681b025d451581746600541.jpg,https://www.topcv.vn/viec-lam/ky-thuat-hien-truong-giam-sat-thi-cong-cong-trinh-tu-van-thiet-ke/1719956.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN KỸ THUẬT VÀ CÔNG NGHỆ TKD,Chuyên môn Kỹ sư HVAC Xây dựng,2 năm,Nam Định,25-99 nhân viên,15 - 25 triệu,"• Kỹ sư công trường, làm các công tác shop, hồ sơ thanh toán, đệ trình, bóc khối lượng đặt hàng...
• Thực hiện các công việc theo phân công của quản lý, chỉ huy trưởng.
• Lĩnh vực: HVAC (hệ Chiller) và khí nén","• Tốt nghiệp hệ chính quy, ngành nhiệt lạnh, điều hoà thông gió, hoặc tương đương
• Có kinh nghiệm về hiện trường, shop, hồ sơ thanh quyết toán
• Có thái độ cầu thị, suy nghĩ tích cực, trách nhiệm với công việc, cẩn thận
• Kinh nghiệm: 2 - 10 năm
• Sử dụng tốt AutoCAD. Biết sử dụng Revit là một lợi thế",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/CS129SynrcuZUPI4S1Zohylwr9tXtMJd_1747113718____5dd20e265dddb6e4cc53e73337493a3c.jpg,https://www.topcv.vn/viec-lam/ky-su-he-chiller-nha-xuong-ky-su-hvac-ky-su-cong-truong-tai-nam-dinh/1727830.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN CHIẾU SÁNG CROLED,Chuyên môn Thiết kế nội thất,Không yêu cầu,Hà Nội,25-99 nhân viên,12 - 30 triệu,"1. Thiết kế và phát triển giải pháp chiếu sáng
- Lên ý tưởng thiết kế chiếu sáng theo yêu cầu của khách hàng và đặc điểm công trình.
- Thiết kế bố trí đèn, lựa chọn sản phẩm phù hợp, đảm bảo yếu tố thẩm mỹ và công năng
- Tư vấn khách hàng về giải pháp
- Lên báo giá thiết bị
2. Tính toán chiếu sáng và triển khai hồ sơ kỹ thuật
- Triển khai hồ sơ bản vẽ thiết kế chiếu sáng, bao gồm: Mặt bằng bố trí đèn, Bản vẽ thi công lắp đặt.
- Phối hợp với bộ phận kỹ thuật để triển khai hệ thống cấp nguồn và điều khiển chiếu sáng.
3. Nghiên cứu & Cập nhật xu hướng chiếu sáng
- Cập nhật các xu hướng thiết kế chiếu sáng hiện đại, công nghệ mới.
- Nghiên cứu và ứng dụng các hệ thống chiếu sáng thông minh
- Tham gia các khóa đào tạo, hội thảo về chiếu sáng kiến trúc, nghệ thuật.","1. Trình độ & Chuyên môn
- Tốt nghiệp Đại học /Cao đẳng chuyên ngành Kiến trúc, Thiết kế nội thất, Điện – Điện tử, Kỹ thuật chiếu sáng hoặc các ngành liên quan.
- Thành thạo AutoCAD, SketchUp, Photoshop, 3ds max.
- Có kinh nghiệm trong lĩnh vực thiết kế chiếu sáng kiến trúc là một lợi thế. Nếu chưa có kinh nghiệm về thiết kế chiếu sáng thì sẽ được đào tạo.
2. Phẩm chất & Thái độ
- Đam mê thiết kế chiếu sáng, có tư duy thẩm mỹ tốt.
- Tinh thần trách nhiệm cao, cẩn thận, tỉ mỉ trong công việc.
- Ham học hỏi, sẵn sàng cập nhật công nghệ chiếu sáng mới.
- Có thái độ tích cực, chủ động đề xuất ý tưởng và giải pháp.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/bytMjPxd3cfuVShynTMw9kRNreN4kvfZ_1658806249____4013431e6a56c8e7374581a0fad63018.jpg,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-noi-that-chieu-sang-thu-nhap-12-30-trieu-thang-tai-ha-noi/1721277.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY CỔ PHẦN THIẾT KẾ VÀ XÂY DỰNG GIZA VIỆT NAM,Chuyên môn Kỹ sư cơ điện Xây dựng,1 năm,Bắc Ninh & 2 nơi khác,100-499 nhân viên,15 - 20 triệu,"- Giám sát thi công với tư cách nhà thầu chính.
- Lập biện pháp, tiến độ thi công. Kế hoạch vật tư, bóc tách khói lượng
- Làm Hồ sơ nghiệm thu chất lượng, thanh toán với CĐT cũng như nhà thầu, tổ đội
- Thực hiện các công việc khác nếu có theo yêu cầu của Chỉ huy trưởng.","- Tốt nghiệp đại học chuyên ngành Hệ thống điện/ Điện kỹ thuật/ Nhiệt/ Điều hòa không khí/ Cơ khí/ Cấp thoát nước.
- Có kinh nghiệm từ 6 tháng trở lên trong lĩnh vực giám sát, thi công các công trình xây dựng dân dụng và công nghiệp. Giám sát điện, nước, điều hòa, cơ khí....
- Có kỹ năng làm việc nhóm, giải quyết vấn đề, ra quyết định.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-co-phan-thiet-ke-va-xay-dung-giza-viet-nam-5d08980bafe42.jpg,https://www.topcv.vn/viec-lam/ky-su-mep-thu-nhap-15-20-trieu-ho-tro-an-o-bac-ninh-hai-duong-quang-ninh/1726410.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
CÔNG TY TNHH HIRAIWA VIỆT NAM,Chuyên môn Giám sát dự án/công trình/thi công Xây dựng,3 năm,Hồ Chí Minh,25-99 nhân viên,25 - 28 triệu,"• Đại diện công ty trao đổi khách hàng người Đài Loan
• Trực tiếp làm việc với chủ đầu tư và các bên liên quan về tiến độ thi công, tư vấn giám sát và các bên liên quan công trình.
• Quản lý, giám sát các công việc tại công trường
• Lưu giữ tài liệu hồ sơ của công trình thi công.
• Các công việc khác theo sự phân công của Ban","• Tốt nghiệp đại học chính quy chuyên ngành xây dựng dân dụng và công nghiệp
• Kỹ năng nghe, giao tiếp tốt tiếng trung ( làm việc trực tiếp với người Đài Loan)
• Tối thiểu 3 năm kinh nghiệm lĩnh vực xây dựng
• Có sức khỏe tốt, trung thực, có khả năng đi công tác xa tại các tỉnh",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/6822ec8b6b1de1747119243.jpg,https://www.topcv.vn/viec-lam/giam-sat-cong-trinh-biet-trieng-trung-luong-tu-25-trieu-tai-ho-chi-minh/1727240.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466289
